iter	RMSE
261	6.339893042
262	6.339053422
263	6.337328666
264	6.336051137
265	6.335611126
266	6.335245597
267	6.334674834
268	6.33419116
269	6.333759093
270	6.333246692
271	6.332775888
272	6.3317549
273	6.33099228
274	6.330061496
275	6.329640354
276	6.328793206
277	6.327958537
278	6.327602187
279	6.326803383
280	6.326376221
281	6.325709852
282	6.324477419
283	6.324059862
284	6.323621063
285	6.322623057
286	6.322248335
287	6.32173082
288	6.321181994
289	6.320788455
290	6.31963424
291	6.319277786
292	6.31846342
293	6.317745859
294	6.316483718
295	6.315569684
296	6.315377985
297	6.314629331
298	6.313903659
299	6.31361477
300	6.313346367
301	6.312642352
302	6.311959425
303	6.311374285
304	6.310118118
305	6.30987525
306	6.309472407
307	6.308275455
308	6.307882666
309	6.307383655
310	6.306456307
311	6.30597441
312	6.305211635
313	6.304987104
314	6.304780544
315	6.304559464
316	6.303984645
317	6.303240795
318	6.302864275
319	6.301847003
320	6.30119238
321	6.300347975
322	6.299311447
323	6.298778617
324	6.298237182
325	6.297783568
326	6.297016302
327	6.296319538
328	6.296165345
329	6.295583315
330	6.295112864
331	6.294651869
332	6.294278606
333	6.293785596
334	6.292672924
335	6.292381787
336	6.291460312
337	6.29098397
338	6.29071754
339	6.290585951
340	6.290099999
341	6.289412343
342	6.289209447
343	6.288767158
344	6.288135789
345	6.287416559
346	6.286630472
347	6.286284603
348	6.285876611
349	6.28553692
350	6.284838927
351	6.284514749
352	6.284190479
353	6.283475546
354	6.283097765
355	6.282649581
356	6.281966154
357	6.281164138
358	6.280577751
359	6.280111746
360	6.279682079
361	6.279328456
362	6.278487687
363	6.278127335
364	6.277192012
365	6.276918411
366	6.276329742
367	6.275648868
368	6.275068941
369	6.274507247
370	6.274025951
371	6.27339897
372	6.273266796
373	6.272695942
374	6.27196106
375	6.271155786
376	6.270661345
377	6.269730007
378	6.269384359
379	6.268629789
380	6.268089996
381	6.267341178
382	6.266824526
383	6.266517683
384	6.26559082
385	6.26506657
386	6.264522464
387	6.264230844
388	6.263857373
389	6.262885466
390	6.262375617
391	6.261884516
392	6.261170358
393	6.260586638
394	6.259666898
395	6.259143374
396	6.258344647
397	6.257756428
398	6.257365646
399	6.256950448
400	6.256586792
401	6.255947106
402	6.255534922
403	6.255237969
404	6.254726889
405	6.254356129
406	6.253867904
407	6.253399757
408	6.253163412
409	6.252985671
410	6.252545201
411	6.252303413
412	6.251951761
413	6.251479343
414	6.251210913
415	6.251039729
416	6.250661879
417	6.250476793
418	6.249714731
419	6.249126955
420	6.248776225
421	6.248412376
422	6.247512835
423	6.247091667
424	6.24593937
425	6.245216396
426	6.244735501
427	6.244152508
428	6.243860587
429	6.24369693
430	6.243244421
431	6.243086974
432	6.242687952
433	6.241925748
434	6.241774289
435	6.241275567
436	6.240361191
437	6.240078085
438	6.239369448
439	6.239047085
440	6.238765682
441	6.237695964
442	6.237265637
443	6.236996328
444	6.236467663
445	6.236044257
446	6.235665511
447	6.235319455
448	6.234760862
449	6.234595426
450	6.23320683
451	6.233066637
452	6.232446926
453	6.231938047
454	6.231640544
455	6.231386608
456	6.231006801
457	6.230456858
458	6.229639498
459	6.229144242
460	6.228690341
461	6.228153278
462	6.227450831
463	6.226716297
464	6.226289006
465	6.225838843
466	6.225633688
467	6.225370252
468	6.225069773
469	6.224291115
470	6.223957851
471	6.223827774
472	6.223188048
473	6.222774247
474	6.222417597
475	6.22212254
476	6.221477698
477	6.221226664
478	6.220980263
479	6.220367558
480	6.22014376
481	6.219730375
482	6.219608125
483	6.218617403
484	6.217948981
485	6.217701176
486	6.217463072
487	6.216886486
488	6.216327954
489	6.215170273
490	6.21453234
491	6.213943386
492	6.213150666
493	6.212805064
494	6.212065403
495	6.21166336
496	6.211442957
497	6.210889454
498	6.210745149
499	6.210456917
500	6.210341307
501	6.210105142
502	6.209486998
503	6.209351259
504	6.208958932
505	6.208729111
506	6.208598036
507	6.208207052
508	6.207956186
509	6.207618454
510	6.207358614
511	6.206904462
512	6.206515733
513	6.206096236
514	6.205291131
515	6.204976607
516	6.203727555
517	6.203063967
518	6.202079754
519	6.201360622
520	6.200807372
521	6.19987194
522	6.199198418
523	6.198626375
524	6.198251534
525	6.198125501
526	6.197354806
527	6.197149335
528	6.197030837
529	6.19690927
530	6.196196868
531	6.195332552
532	6.194545526
533	6.194084771
534	6.193782662
535	6.193671739
536	6.193189554
537	6.192579995
538	6.192069009
539	6.191319823
540	6.190824004
541	6.190598612
542	6.190203132
543	6.189156428
544	6.188692496
545	6.1883872
546	6.188037517
547	6.187674954
548	6.186938167
549	6.186302819
550	6.185716839
551	6.185440951
552	6.185054426
553	6.184338222
554	6.183687736
555	6.182982252
556	6.182453797
557	6.181554329
558	6.181123596
559	6.18057931
560	6.180137522
561	6.179691046
562	6.179380151
563	6.17906511
564	6.178797364
565	6.178303105
566	6.177614119
567	6.176645834
568	6.176346737
569	6.175776957
570	6.175212056
571	6.174976806
572	6.174558154
573	6.174331076
574	6.17395368
575	6.173558597
576	6.173306909
577	6.172737712
578	6.172405498
579	6.172051543
580	6.171723304
581	6.171384594
582	6.171269858
583	6.170800173
584	6.170351696
585	6.169971933
586	6.169717014
587	6.168963043
588	6.168467049
589	6.167925915
590	6.167736206
591	6.167242764
592	6.166562193
593	6.166202159
594	6.165490167
595	6.165067271
596	6.164268598
597	6.163881235
598	6.16356361
599	6.163385416
600	6.162803823
601	6.162278053
602	6.161744713
603	6.161529846
604	6.160885359
605	6.160301945
606	6.159793336
607	6.15882613
608	6.158302013
609	6.157945059
610	6.157647713
611	6.157369965
612	6.157054246
613	6.156776661
614	6.15631656
615	6.15591475
616	6.155805258
617	6.155367665
618	6.154974459
619	6.154399721
620	6.154072308
621	6.153626687
622	6.152735433
623	6.152352277
624	6.152133124
625	6.151727023
626	6.151401749
627	6.150535847
628	6.150064009
629	6.149567966
630	6.149467614
631	6.149260965
632	6.148472134
633	6.147965664
634	6.147450873
635	6.146727983
636	6.146246224
637	6.146098308
638	6.145816759
639	6.145343587
640	6.144756581
641	6.14385918
642	6.143306824
643	6.143049095
644	6.142680851
645	6.142336638
646	6.142096513
647	6.141696144
648	6.140974972
649	6.140564323
650	6.140282695
651	6.139833669
652	6.139437908
653	6.139091045
654	6.138761823
655	6.138475693
656	6.138058682
657	6.13727903
658	6.136876979
659	6.136532174
660	6.136238801
661	6.135553789
662	6.135085915
663	6.134521366
664	6.134184305
665	6.134078246
666	6.133143186
667	6.132855474
668	6.132526025
669	6.132167686
670	6.131701398
671	6.131295696
672	6.130713151
673	6.130366607
674	6.129992034
675	6.129751982
676	6.129360582
677	6.128923834
678	6.128366929
679	6.128026861
680	6.127783597
681	6.127469273
682	6.127366078
683	6.126905211
684	6.126576543
685	6.126308156
686	6.126137221
687	6.125365896
688	6.124817138
689	6.124096264
690	6.123869953
691	6.123244314
692	6.122209755
693	6.121899441
694	6.121600653
695	6.121406628
696	6.120545435
697	6.120198337
698	6.119997094
699	6.119526384
700	6.118875727
701	6.118677995
702	6.118393025
703	6.117912137
704	6.117493325
705	6.117193827
706	6.116384053
707	6.116067766
708	6.115849252
709	6.115269552
710	6.114619204
711	6.114146496
712	6.113591329
713	6.113223189
714	6.1127666
715	6.112515019
716	6.111867496
717	6.11165116
718	6.110860492
719	6.110660866
720	6.110096883
721	6.109607452
722	6.109204427
723	6.108818957
724	6.108388098
725	6.108057296
726	6.107114976
727	6.106588849
728	6.106175875
729	6.106075174
730	6.105722581
731	6.105060058
732	6.10460241
733	6.103792554
734	6.103371033
735	6.10314239
736	6.10289339
737	6.102647753
738	6.102550716
739	6.102238947
740	6.101631978
741	6.101249423
742	6.100832611
743	6.100739215
744	6.100502332
745	6.09989962
746	6.099300386
747	6.09899561
748	6.098808224
749	6.098508531
750	6.098132055
751	6.097915398
752	6.097744453
753	6.097614675
754	6.097310934
755	6.096780921
756	6.096661982
757	6.096273993
758	6.095834284
759	6.095429548
760	6.095062077
761	6.09443497
762	6.093869416
763	6.0933864
764	6.092811946
765	6.092669568
766	6.092197981
767	6.091944666
768	6.091615309
769	6.091419431
770	6.091236867
771	6.090866792
772	6.090554285
773	6.089936836
774	6.089655805
775	6.089301296
776	6.089022151
777	6.088540793
778	6.088427255
779	6.087961157
780	6.087560359
781	6.087334381
782	6.08706966
783	6.08677708
784	6.086536626
785	6.086034539
786	6.085485966
787	6.085058315
788	6.084587448
789	6.084247159
790	6.084153328
791	6.083705734
792	6.083415734
793	6.083240304
794	6.083068246
795	6.082634717
796	6.08240773
797	6.081862872
798	6.081317366
799	6.080734568
800	6.080579898
801	6.080195441
802	6.079911936
803	6.079692231
804	6.07960444
805	6.079137859
806	6.078864331
807	6.078554159
808	6.078073787
809	6.077736629
810	6.077540669
811	6.077234272
812	6.076947156
813	6.076436859
814	6.076015203
815	6.075715133
816	6.075331469
817	6.074805799
818	6.074608591
819	6.073871541
820	6.073747693
821	6.07312372
822	6.072869942
823	6.071991812
824	6.071670398
825	6.071337208
826	6.07112665
827	6.07079273
828	6.070199407
829	6.070086557
830	6.06936254
831	6.06856034
832	6.068360318
833	6.067923712
834	6.06753626
835	6.067069456
836	6.066606653
837	6.066196599
838	6.065932852
839	6.065752713
840	6.06550298
841	6.065158163
842	6.064730142
843	6.064207628
844	6.063902148
845	6.06366584
846	6.063148462
847	6.062657896
848	6.062271229
849	6.062032879
850	6.061919858
851	6.061705509
852	6.061452069
853	6.061222722
854	6.060838921
855	6.060386964
856	6.059680453
857	6.059327269
858	6.058873157
859	6.058655402
860	6.058433103
861	6.057974733
862	6.057467561
863	6.057321169
864	6.056967768
865	6.056588317
866	6.056353645
867	6.056125745
868	6.055805698
869	6.055663994
870	6.055245148
871	6.055165803
872	6.054884056
873	6.054184541
874	6.054101336
875	6.053902581
876	6.053428898
877	6.053126111
878	6.053034975
879	6.052729184
880	6.052205072
881	6.051960936
882	6.051876034
883	6.05130634
884	6.051137663
885	6.050944071
886	6.05058487
887	6.050355448
888	6.050177976
889	6.049773873
890	6.049399286
891	6.049198915
892	6.048765913
893	6.048488744
894	6.048295429
895	6.048108027
896	6.047997464
897	6.047726566
898	6.047405184
899	6.046888366
900	6.046289341
901	6.046214887
902	6.045487102
903	6.045208503
904	6.044857607
905	6.04434394
906	6.044183871
907	6.04379546
908	6.043624487
909	6.043162942
910	6.04290774
911	6.042292526
912	6.042123283
913	6.041823672
914	6.041503297
915	6.041224804
916	6.040998292
917	6.040827944
918	6.040664405
919	6.040562108
920	6.04038852
921	6.040178654
922	6.03995381
923	6.039698406
924	6.039242642
925	6.039169316
926	6.038925939
927	6.038508365
928	6.038135384
929	6.037469403
930	6.036730385
931	6.036548622
932	6.035991922
933	6.035507066
934	6.035072937
935	6.034819385
936	6.034456804
937	6.03432879
938	6.034078441
939	6.033597689
940	6.033310725
941	6.033170546
942	6.032960838
943	6.03272975
944	6.032657237
945	6.03248732
946	6.032297809
947	6.031894095
948	6.031400714
949	6.031186654
950	6.030927287
951	6.030593001
952	6.030393631
953	6.030283713
954	6.029765639
955	6.029536378
956	6.029259319
957	6.029019882
958	6.028863585
959	6.028650841
960	6.028266452
961	6.027944732
962	6.027519926
963	6.027359255
964	6.027207679
965	6.026928783
966	6.026480597
967	6.026054652
968	6.025574298
969	6.02534006
970	6.024857793
971	6.024397381
972	6.024232741
973	6.023759619
974	6.023538158
975	6.023367499
976	6.023260456
977	6.023162408
978	6.023060784
979	6.022843431
980	6.02250229
981	6.022086329
982	6.021842854
983	6.021447218
984	6.021005696
985	6.020598083
986	6.020467341
987	6.019830602
988	6.019366796
989	6.018934354
990	6.018720426
991	6.018486854
992	6.01826136
993	6.018101284
994	6.01787704
995	6.017438781
996	6.017269455
997	6.016667256
998	6.016503691
999	6.016133319
